author,avgrating,awards,five_stars,four_stars,genre,numpages,one_stars,origpubdate,pubyear,pubdate,publisher,three_stars,title,totalratings,totalreviews,two_stars
M.R. Carey,3.94,,43377,58665,Horror,461,2812,January 14th 2014,2014,June 19th 2014,Orbit,29165,The Girl With All the Gifts,141452,16580,7433
Alice Munro,4.29,,2983,1895,Short Stories,688,73,January 14th 1985,1985,November 11th 1997,Vintage,691,Selected Stories,5834,309,192
John Berendt,3.91,"Pulitzer Prize Nominee for General Nonfiction (1995),Exclusive Books Boeke Prize (1995),Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994),Lambda Literary Award for Gay Men's Mystery (1995)",54252,74736,Nonfiction,386,2464,January 13th 1994,1994,June 28th 1999,Vintage,44917,Midnight in the Garden of Good and Evil,185962,7099,9593
Paul Kalanithi,4.33,,122915,70913,Nonfiction,208,3663,January 12th 2016,2016,January 19th 2016,Random House,25252,When Breath Becomes Air,228458,20991,5715
Jacqueline Winspear,3.96,,5919,10982,Mystery,320,133,January 12th 2004,2004,2005,Penguin,5291,Birds of a Feather,22926,2140,601
Allison Pearson,3.31,,2793,5100,Womens Fiction,368,1026,January 12th 2001,2001,August 26th 2003,Anchor Books,6556,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",18365,1603,2890
Milan Kundera,3.66,,2461,4521,Fiction,156,246,January 12th 1995,1995,April 11th 1997,Harper Perennial,3851,Slowness,12084,711,1005
Milan Kundera,4.12,"Independent Foreign Fiction Prize (1991),Cena Jaroslava Seiferta (1994),Kniha roku (1993)",10039,9300,Fiction,400,225,January 12th 1990,1990,1992,Faber and Faber,4436,Immortality,24921,1310,921
Georgia Cates,4.24,,24958,17159,Romance,338,693,January 11th 2013,2013,January 29th 2013,Georgia Cates,6935,Beauty from Pain,51426,3318,1681
David Clement-Davies,4.14,,5368,3247,Fantasy,554,251,January 11th 2001,2001,August 11th 2003,Firebird,1870,The Sight,11332,677,596
Gerald Morris,3.97,,3090,2769,Fantasy,212,223,January 11th 1998,1998,January 11th 2000,Laurel Leaf,1766,The Squire's Tale,8299,388,451
James Patterson,3.94,,103965,98958,Mystery,458,10579,January 11th 1995,1995,July 1st 2000,Grand Central Publishing,59417,Kiss the Girls,287655,2958,14736
Jojo Moyes,3.95,Romantic Novel of the Year (RoNa's) Award (2011),17470,24178,Romance,390,804,January 10th 2008,2008,July 7th 2011,Pamela Dorman Books,12733,The Last Letter from Your Lover,57818,5557,2633
Thrity Umrigar,3.98,,10195,15360,Fiction,321,317,January 10th 2006,2006,February 6th 2007,Harper Perennial,7377,The Space Between Us,34543,3378,1294
Brian Jacques,3.99,,4838,5021,Fantasy,374,93,January 10th 1999,1999,June 2nd 2005,Firebird,3524,The Legend of Luke,14056,177,580
Ted Hughes,3.92,,2598,2713,Poetry,198,186,January 10th 1998,1998,March 30th 1999,Farrar Straus Giroux,1671,Birthday Letters,7652,308,484
Julee Rosso,3.98,,2969,2480,Food and Drink,864,176,January 10th 1988,1988,January 10th 1989,Workman Publishing Company,1722,The New Basics Cookbook,7797,78,450
John Boyne,4.47,,11217,4955,Historical,582,210,February 9th 2017,2017,August 22nd 2017,Hogarth Press,1384,The Heart's Invisible Furies,18126,3249,360
B.A. Paris,3.92,,11296,14912,Thriller,328,609,February 9th 2017,2017,July 18th 2017,St. Martin's Press,8238,The Breakdown,37250,5618,2195
Neil Gaiman,4.09,,26611,33783,Fantasy,304,416,February 7th 2017,2017,March 6th 2018,W. W. Norton & Company,14019,Norse Mythology,76868,9769,2039
Kresley Cole,4.08,,20996,14523,Romance,163,1234,February 7th 2006,2006,November 22nd 2011,Simon & Schuster,8476,The Warlord Wants Forever,47661,1762,2432
Raymond E. Feist,4.18,,20940,19765,Fiction,527,257,February 7th 1986,1986,1987,Grafton Books,8709,A Darkness At Sethanon,50813,555,1142
Susan Elizabeth Phillips,4.12,,10240,9218,Romance,432,308,February 6th 2001,2001,February 5th 2002,Avon,4538,This Heart of Mine,25184,1039,880
Abbi Glines,4.15,,13988,12341,Romance,234,392,February 5th 2014,2014,February 25th 2014,Atria Books,5395,Take a Chance,33346,2475,1230
John Grisham,3.68,,12452,21375,Fiction,384,857,February 5th 2002,2002,September 27th 2005,Delta,19920,The Summons,58946,1696,4342
Sarah Waters,4,,18581,17301,Historical,472,1403,February 5th 1998,1998,May 1st 2000,"Riverhead Books, U.S.",9237,Tipping the Velvet,49036,2216,2514
M. Scott Peck,4.07,,1877,1588,Psychology,252,62,February 5th 1988,1988,January 2nd 1998,Touchstone,967,Further Along the Road Less Traveled: The Unending Journey Towards Spiritual Growth,4695,102,201
John Grisham,3.67,,15055,23697,Fiction,276,1302,February 4th 2003,2003,December 27th 2005,Delta,21894,The King of Torts,67761,1816,5813
Philippa Gregory,3.84,,21423,31360,Historical,490,1005,February 4th 2003,2003,February 4th 2004,Harper Collins,22306,The Queen's Fool,80540,2986,4446
Robert Ludlum,3.99,,131995,123591,Thriller,566,10470,February 4th 1980,1980,March 24th 2005,Orion,67137,The Bourne Identity,351341,4133,18148
Lauren Oliver,3.99,,143524,123593,Young Adult,441,9640,February 3rd 2011,2011,February 7th 2012,HarperCollins,73147,Delirium,372678,24939,22774
Patricia Briggs,4.34,,41242,31284,Fantasy,300,256,February 3rd 2009,2009,2010,Orbit,9935,Bone Crossed,83670,2530,953
John Grisham,3.86,,18161,28022,Fiction,278,625,February 3rd 2004,2004,April 25th 2006,Delta,19609,The Last Juror,69628,1917,3211
William Gibson,3.86,"Locus Award Nominee for Best Science Fiction Novel (2004),Arthur C. Clarke Award Nominee (2004),British Science Fiction Association Award Nominee for Best Novel (2004),Mary Shelley Award for Outstanding Fictional Work (2004)",10813,15842,Science Fiction,367,594,February 3rd 2003,2003,Feb-05,Berkley Books,9864,Pattern Recognition,39400,1962,2287
Chris Cleave,3.79,,6042,11010,Historical,418,450,February 2nd 2016,2016,May 3rd 2016,Simon  Schuster,7067,Everyone Brave is Forgiven,26130,3743,1561
Sarah Waters,3.68,,4341,7616,Historical,560,522,February 2nd 2006,2006,September 27th 2006,Riverhead Books,5729,The Night Watch,19922,1650,1714
Lemony Snicket,3.92,,41572,48659,Fiction,214,1333,February 2nd 2000,2000,February 25th 2000,HarperCollins Publishers,35454,The Wide Window,133528,4030,6510
John Grisham,3.84,,24831,33363,Fiction,535,1056,February 2nd 1999,1999,December 28th 1999,Island,25656,The Testament,90145,2452,5239
Stephen King,3.93,,28778,30540,Fantasy,427,1277,February 2nd 1987,1987,May 13th 1993,Time Warner Paperbacks,20731,The Eyes of the Dragon,86513,3369,5187
Khaled Hosseini,4.04,"Andrew Carnegie Medal Nominee for Fiction (2014),Goodreads Choice Award for Fiction (2013),DSC Prize Nominee for South Asian Literature  for Longlist (2015)",84839,100544,Historical,404,2220,February 29th 2012,2012,May 21st 2013,Riverhead Books,49090,And the Mountains Echoed,246423,25137,9730
Max Lucado,4.18,,4198,3091,Christian,240,130,February 29th 2000,2000,September 8th 2009,Thomas Nelson,1510,Fearless: Imagine Your Life Without Fear,9263,463,334
Tracy Kidder,4.01,,4364,5819,Nonfiction,277,149,February 29th 2000,2000,August 25th 2009,Random House,2772,Strength in What Remains: A Journey of Remembrance and Forgiveness,13607,1709,503
Gordon Korman,3.82,,6932,7933,Young Adult,224,630,February 29th 2000,2000,September 1st 2007,Disney-Hyperion,5892,Schooled,23026,2582,1639
Donald Miller,3.92,,7252,7655,Christian,246,526,February 29th 2000,2000,October 11th 2004,Thomas Nelson,4925,Searching for God Knows What,21598,722,1240
Peter F. Hamilton,4.3,,12500,9857,Science Fiction,827,151,February 28th 2005,2005,February 28th 2006,Del Rey,3082,Judas Unchained,26118,982,528
Jeff Rovin,3.52,,2077,3059,Fiction,400,426,February 28th 1995,1995,April 10th 1995,Harpercollins Publishers,3399,Op-Center,10079,147,1118
Benny Hinn,4.33,,3359,1207,Christian,204,175,February 28th 1990,1990,May 7th 1997,Thomas Nelson Publishers,616,"Good Morning, Holy Spirit",5541,148,184
Jojo Moyes,3.95,Goodreads Choice Award Nominee for Fiction (2014),33496,52432,Fiction,368,1706,February 27th 2014,2014,July 1st 2014,Pamela Dorman Books,25688,One Plus One,117843,10525,4521
Richelle Mead,3.94,,17057,16966,Fantasy,343,1172,February 27th 2007,2007,March 1st 2007,Kensington,10591,Succubus Blues,48699,2791,2913
Yana Toboso,4.36,,50803,18685,Sequential Art,192,1598,February 27th 2007,2007,January 26th 2010,Yen Press,9793,"Black Butler, Vol. 1",83742,1172,2863
Meg Cabot,4.04,,5738,5396,Young Adult,266,156,February 27th 2001,2001,January 1st 2007,Simon Pulse,3310,When Lightning Strikes,15254,521,654
John Grisham,3.9,,27328,37709,Fiction,416,789,February 26th 1997,1997,April 26th 2005,Delta,26058,The Partner,96128,2050,4244
Morgan Llywelyn,4.13,,1322,1286,Historical,448,29,February 26th 1980,1980,March 6th 2002,Tor Books,584,Lion of Ireland,3329,192,108
Colleen Hoover,4.29,,66404,40940,Romance,320,1313,February 25th 2012,2012,August 10th 2012,Simon & Schuster UK,16927,Point of Retreat,129426,8419,3842
Arthur C. Clarke,3.5,,3303,5583,Science Fiction,272,547,February 25th 1997,1997,October 5th 1999,Del Rey,6078,3001: The Final Odyssey,17712,611,2201
Monica Hughes,3.78,,1520,1323,Science Fiction,192,282,February 25th 1991,1991,June 1st 1993,Simon Pulse,972,Invitation to the Game,4443,316,346
Robert Ludlum,4.05,,18819,20405,Fiction,725,532,February 25th 1990,1990,May 6th 2004,Orion,10615,The Bourne Ultimatum,52456,841,2085
Jasper Fforde,4.09,,11668,14086,Fantasy,388,147,February 23rd 2004,2004,August 3rd 2004,Penguin Books,6564,The Well of Lost Plots,33232,1717,767
Gordon B. Hinckley,4.61,,9746,2690,Religion,256,130,February 22nd 2000,2000,March 20th 2001,Harmony,808,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,13542,699,168
Alan Hollinghurst,3.8,,1981,2501,Fiction,352,206,February 22nd 1988,1988,September 19th 1989,Vintage,1692,The Swimming-Pool Library,6922,342,542
Stephen King,4.15,,20521,21178,Fantasy,322,342,February 21st 2012,2012,April 24th 2012,Scribner,8826,The Wind Through the Keyhole,52288,4513,1421
Ilona Andrews,4.44,,33694,19467,Fantasy,310,278,February 20th 2009,2009,Apr-09,Berkley Publishing Group,5357,Magic Strikes,59448,2778,652
Robert Ludlum,3.93,,7561,10221,Fiction,688,207,February 20th 1988,1988,February 1st 1992,Bantam,6749,The Icarus Agenda,25677,166,939
Jeaniene Frost,4.28,,25083,17865,Paranormal,357,297,February 1st 2011,2011,February 22nd 2011,Avon,7511,This Side of the Grave,51869,2306,1113
Nalini Singh,4.24,,19856,14440,Fantasy,323,368,February 1st 2010,2010,February 2nd 2010,Berkley Sensation,6216,Archangel's Kiss,42159,1903,1279
Jim Butcher,4.41,,44571,32694,Fantasy,489,101,February 1st 2006,2006,February 6th 2007,Roc,7792,Proven Guilty,85657,2229,499
Cynthia Kadohata,3.91,,6556,7248,Young Adult,272,368,February 1st 2004,2004,December 26th 2006,Atheneum Books for Young Readers,4822,Kira-Kira,20231,2393,1237
Wayne W. Dyer,4.19,,11665,7752,Self Help,272,444,February 1st 2004,2004,December 15th 2005,Hay House,3959,The Power of Intention: Learning to Co-create Your World Your Way,24670,564,850
John   Williams,4.62,,22831,5578,Fantasy,24,350,February 1st 2003,2003,March 1st 2004,International Music Publications,1995,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,31069,55,315
Cressida Cowell,3.86,,8924,9945,Fantasy,214,613,February 1st 2003,2003,May 1st 2004,"Little, Brown Books for Young Readers",7242,How to Train Your Dragon,28687,3323,1963
Janet Evanovich,3.71,,4154,4910,Romance,342,269,February 1st 2002,2002,February 17th 2003,St. Martin's Paperbacks,5156,Full Tilt,15926,338,1437
Joanne Fluke,3.84,,3871,5455,Mystery,320,83,February 1st 2001,2001,February 2nd 2002,Kensington,4608,Strawberry Shortcake Murder,14683,866,666
Sonya Sones,3.83,,4335,4370,Young Adult,261,346,February 1st 2001,2001,Feb-03,Simon & Schuster Books for Young Readers,3527,What My Mother Doesn't Know,13657,1492,1079
Gary L. Thomas,4.26,,5177,3262,Marriage,272,135,February 1st 2000,2000,August 4th 2015,Zondervan,1452,Sacred Marriage: What If God Designed Marriage to Make Us Holy More Than to Make Us Happy?,10354,584,328
John Grisham,3.72,,17728,27400,Fiction,384,1238,February 1st 2000,2000,December 27th 2005,Delta,24683,The Brethren,76454,1604,5405
Lori Wick,4.17,,5040,2856,Christian Fiction,300,219,February 1st 1999,1999,June 1st 2006,Harvest House Publishers,1665,The Princess,10275,562,495
Susan Elizabeth Phillips,3.98,,4966,5504,Romance,384,148,February 1st 1999,1999,June 29th 2004,Avon,3382,Lady Be Good,14683,535,683
Cornelia Funke,3.95,,25477,22676,Fantasy,527,1146,February 1st 1997,1997,June 4th 2005,Chicken House,16943,Dragon Rider,70391,2189,4149
David Foster Wallace,4.31,,37235,13304,Fiction,1088,2403,February 1st 1996,1996,2005,Back Bay Books,5651,Infinite Jest,61352,7508,2759
C.J. Cherryh,3.94,,2331,2290,Science Fiction,428,155,February 1st 1994,1994,December 7th 2004,DAW,1389,Foreigner,6599,475,434
Mary Pope Osborne,3.89,,4815,3810,Childrens,80,276,February 1st 1994,1994,March 8th 1994,Random House Books for Young Readers,3680,Pirates Past Noon,13499,506,918
Piers Anthony,3.79,,2138,2345,Fantasy,352,89,February 1st 1993,1993,February 15th 1994,Tor Fantasy,2350,Demons Don't Dream,7464,93,542
Barbara Park,3.97,,4435,2552,Childrens,68,327,February 1st 1993,1993,February 16th 1993,Random House Books for Young Readers,2323,Junie B. Jones and a Little Monkey Business,10366,552,729
Stephen Hunter,4.26,,5962,4953,Thriller,528,146,February 1st 1993,1993,March 6th 2003,Arrow,1569,Point of Impact,12923,624,293
James Patterson,4.09,,133085,125431,Mystery,435,4680,February 1st 1993,1993,August 1st 2003,Grand Central Publishing,64699,Along Came a Spider,339538,3920,11643
George Leonard,4.19,,1934,1453,Self Help,176,53,February 1st 1991,1991,February 1st 1992,Plume,647,Mastery: The Keys to Success and Long-Term Fulfillment,4254,299,167
Alex Kotlowitz,4.26,,5132,4211,Nonfiction,323,69,February 1st 1991,1991,January 5th 1992,Anchor Books,1509,There are No Children Here: The Story of Two Boys Growing Up in the Other America,11199,800,278
Martin E.P. Seligman,3.99,,4697,4616,Nonfiction,319,257,February 1st 1990,1990,January 3rd 2006,Vintage,2773,Learned Optimism: How to Change Your Mind and Your Life,13007,592,664
Max DePree,3.99,,1851,1374,Leadership,176,137,February 1st 1987,1987,May 18th 2004,Crown Business,971,Leadership Is an Art,4591,110,258
Frank Miller,4.22,,85494,53924,Sequential Art,144,4490,February 1st 1987,1987,2005,DC Comics,22864,Batman: Year One,172410,2127,5638
Ágota Kristóf,4.11,,1468,1199,Fiction,184,93,February 1st 1986,1986,March 2nd 1995,Seuil,500,Le grand cahier,3415,514,155
Bruce L. Shelley,4.15,,881,955,History,544,15,February 1st 1982,1982,May 7th 1996,Thomas Nelson,380,Church History in Plain Language,2291,242,60
Spencer Johnson,3.93,,2159,1969,Self Help,112,152,February 1st 1981,1981,September 23rd 2003,Doubleday,1363,"The Present: The Secret to Enjoying Your Work and Life, Now!",6038,510,395
Mel Bartholomew,4.12,,2442,2839,Gardening,272,42,February 1st 1981,1981,February 14th 2006,Cool Springs Press,1152,All New Square Foot Gardening,6664,761,189
Dan Ariely,4.1,,29247,30450,Nonfiction,280,1087,February 19th 2007,2007,February 19th 2008,HarperCollins Canada,12609,Predictably Irrational: The Hidden Forces That Shape Our Decisions,76176,4078,2783
J.R. Ward,4.21,,129794,68025,Romance,393,7097,February 19th 2005,2005,September 6th 2005,Penguin Group (USA),34992,Dark Lover,250504,11208,10596
Thomas C. Foster,3.64,,3451,5905,Writing,314,560,February 18th 2003,2003,November 14th 2014,Harper Perennial,4613,How to Read Literature Like a Professor,15981,1910,1452
Sui Ishida,4.42,,36687,13532,Sequential Art,224,1066,February 17th 2012,2012,September 27th 2013,Éditions Glénat,5815,"Tokyo Ghoul, tome 1",58551,1209,1451
Dave Eggers,3.68,,42818,51706,Fiction,485,8190,February 17th 2000,2000,February 13th 2001,Vintage,36305,A Heartbreaking Work of Staggering Genius,154924,8864,15905
Ruth Reichl,4.06,,9882,13203,Food and Drink,304,205,February 17th 1998,1998,March 2nd 1999,Broadway Books,5856,Tender at the Bone: Growing Up at the Table,29996,2192,850
Seth Grahame-Smith,3.7,,30999,43160,Fiction,336,4516,February 16th 2010,2010,March 2nd 2010,Grand Central Publishing,32521,Abraham Lincoln: Vampire Hunter,121868,12058,10672
John Grisham,3.82,,23799,33766,Fiction,384,1071,February 16th 1998,1998,April 26th 2005,Bantam,26372,The Street Lawyer,90325,2047,5317
Catherine Anderson,4.12,,3049,2236,Romance,480,152,February 15th 1991,1991,September 1st 1993,HarperCollins Publishers,1111,Comanche Moon,6874,598,326
George R.R. Martin,4.08,,2695,3054,Science Fiction,440,62,February 15th 1986,1986,October 27th 2004,Meisha Merlin Publishing,1319,Tuf Voyaging,7415,663,285
Ami McKay,4,"Atlantic Independent Booksellers’ Choice Award (2007),Canadian Booksellers Association Libris Award for Fiction Book & Book Design (2007),OLA Evergreen Award (2007)",10610,15245,Fiction,408,302,February 14th 2006,2006,March 6th 2007,Vintage Canada,7279,The Birth House,34725,2496,1289
James Patterson,3.81,,9575,12872,Mystery,406,541,February 14th 2005,2005,January 1st 2007,Grand Central Publishing,9955,Honeymoon,35285,1963,2342
CLAMP,4.05,,16683,8868,Sequential Art,184,1202,February 14th 2001,2001,April 23rd 2002,Tokyopop,6943,"Chobits, Vol. 1",35908,272,2212
James Patterson,4.04,,17922,21665,Mystery,464,281,February 13th 2006,2006,February 6th 2008,Time Warner AudioBooks,11720,The 5th Horseman,53150,1594,1562
Javier Marías,4.01,,2121,2211,Fiction,280,117,February 13th 1992,1992,May 17th 2002,New Directions,1088,A Heart So White,5852,567,315
Tony Kushner,4.27,Pulitzer Prize for Drama (1993),9414,5134,Plays,119,351,February 13th 1992,1992,May 1st 1993,Theatre Communications Group,2300,Millennium Approaches,17832,297,633
Marcella Hazan,4.22,,6381,3665,Food and Drink,704,331,February 12th 1992,1992,October 27th 1992,Knopf Publishing Group,1704,Essentials of Classic Italian Cooking,12567,153,486
Anne McCaffrey,3.79,,4064,4951,Science Fiction,182,150,February 12th 1986,1986,October 4th 1997,Del Rey,4708,Nerilka's Story,14926,217,1053
Robert Ludlum,3.84,,1639,2908,Thriller,760,46,February 12th 1982,1982,February 1st 2005,Orion,2032,The Parsifal Mosaic,6931,157,306
Jim Davis,4.04,,1921,1200,Sequential Art,96,128,February 12th 1980,1980,May 29th 2001,Ballantine Books,898,Garfield at Large: His First Book,4384,146,237
Jenny Colgan,3.86,,6293,10319,Romance,368,250,February 11th 2016,2016,September 20th 2016,William Morrow Paperbacks,6489,The Bookshop on the Corner,24561,4008,1210
B.A. Paris,3.93,,54086,57730,Thriller,293,4539,February 11th 2016,2016,August 9th 2016,St. Martin's Press,31522,Behind Closed Doors,157527,16696,9650
Robert Ludlum,4.1,,59420,61258,Fiction,688,1753,February 11th 1986,1986,2004,Orion,28381,The Bourne Supremacy,155727,1087,4915
Kelley Armstrong,4.07,,11113,11806,Fantasy,414,197,February 10th 2004,2004,March 27th 2007,Spectra Books,6373,Dime Store Magic,30464,1200,975
Steve Martini,3.95,,3765,4833,Fiction,451,162,February 10th 1997,1997,December 1st 1997,Jove,3008,The List,12198,146,430
Leonard Peikoff,3.73,,1511,1226,Philosophy,512,259,December 9th 1991,1991,December 1st 1993,Plume,1157,Objectivism: The Philosophy of Ayn Rand,4557,81,404
Danny Gregory,3.68,,6385,4545,Art,266,1595,December 8th 2008,2008,December 16th 2008,HOW Books,3815,"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers",18083,142,1743
Laurie Faria Stolarz,3.86,,7491,6475,Young Adult,252,580,December 8th 2008,2008,December 23rd 2008,Hyperion,5263,Deadly Little Secret,21545,1649,1736
Dean Koontz,3.82,,4179,4980,Horror,472,200,December 8th 1993,1993,January 30th 2001,Bantam,4329,Winter Moon,14596,342,908
Wataru Yoshizumi,3.94,,3910,2415,Sequential Art,197,311,December 8th 1992,1992,April 23rd 2002,Tokyopop,2045,"Marmalade Boy, Vol. 1",9452,103,771
Michael Crichton,3.69,,18621,25300,Fiction,672,2710,December 7th 2004,2004,November 1st 2005,Avon,20193,State of Fear,73148,2825,6324
Michael Connelly,3.95,,5540,7650,Mystery,416,166,December 7th 1999,1999,May 1st 2004,Grand Central Publishing,4447,Void Moon,18519,766,716
Michael   Lewis,3.97,,8522,10429,Psychology,368,529,December 6th 2016,2016,October 31st 2017,W. W. Norton  Company,5182,The Undoing Project: A Friendship That Changed Our Minds,25898,2420,1236
Steven Erikson,4.39,,20208,11385,Fantasy,920,262,December 6th 2001,2001,Aug-06,Tor Fantasy,3677,Memories of Ice,36273,1195,741
Julia Quinn,4.19,,17027,16177,Romance,354,175,December 5th 2000,2000,June 27th 2006,Avon,6966,The Viscount Who Loved Me,41268,1749,923
Tad Williams,3.9,,7248,7909,Science Fiction,780,557,December 5th 1996,1996,January 1st 1998,DAW Books,4739,City of Golden Shadow,21943,749,1490
Naoki Urasawa,4.39,,4536,2168,Sequential Art,224,119,December 5th 1994,1994,February 1st 2006,VIZ Media,752,"Naoki Urasawa's Monster, Volume 1: Herr Dr. Tenma",7760,313,185
Jostein Gaarder,3.89,,50581,53843,Philosophy,403,4136,December 5th 1991,1991,1995,Phoenix,34155,Sophie's World,153111,8347,10396
J.K. Rowling,4.07,,137492,110365,Fantasy,109,3145,December 4th 2007,2007,December 4th 2008,Bloomsbury,72993,The Tales of Beedle the Bard,339607,12148,15612
Ken Follett,3.93,,6313,9473,Historical,416,191,December 3rd 2001,2001,December 5th 2006,NAL,5464,Jackdaws,22373,1046,932
Jane Green,3.62,,4880,7678,Fiction,352,598,December 31st 2002,2002,March 1st 2005,Broadway Books,7880,To Have and to Hold,23062,535,2026
Scott Turow,4.1,"CWA Silver Dagger for Fiction (1987),Martin Beck Award (1988)",35500,39790,Mystery,421,702,December 31st 1986,1986,April 5th 2010,Warner Books Inc,18597,Presumed Innocent,97098,1231,2509
Jeffrey Archer,3.91,,5525,7909,Fiction,368,208,December 31st 1985,1985,December 28th 2004,St. Martin's Paperbacks,5041,A Matter of Honor,19492,372,809
Mercer Mayer,4.27,,3951,1796,Childrens,24,69,December 31st 1983,1983,November 8th 1999,Random House Books for Young Readers,1329,When I Get Bigger,7349,62,204
Diana Gabaldon,4.34,,83186,53152,Historical,880,660,December 30th 1996,1996,August 7th 2001,Delta,20310,Drums of Autumn,160242,6353,2934
R.A. Salvatore,4.16,,8604,7303,Dungeons and Dragons,337,98,December 30th 1993,1993,Aug-95,Wizards of the Coast TSR,3799,Siege of Darkness,20451,177,647
Michael Pollan,4,,11875,13071,Nonfiction,140,358,December 29th 2008,2008,December 29th 2009,Penguin Books,7881,Food Rules: An Eater's Manual,34725,3218,1540
Marisa de los Santos,3.7,,7074,11473,Fiction,307,737,December 29th 2005,2005,December 1st 2006,Plume Books,8978,Love Walked in,30856,4222,2594
Craig Johnson,4.13,,7813,9111,Mystery,354,214,December 29th 2004,2004,March 28th 2006,Penguin Books,3232,The Cold Dish,20929,2767,559
Jared Diamond,3.92,,14566,20149,Nonfiction,608,789,December 29th 2004,2004,December 27th 2005,Penguin Books Ltd. (London),11086,Collapse: How Societies Choose to Fail or Succeed,49056,2820,2466
Melissa Bank,3.3,,22002,33582,Womens Fiction,288,11424,December 29th 1998,1998,March 29th 2005,Penguin Books,38933,The Girls' Guide to Hunting and Fishing,123337,2949,17396
Marya Hornbacher,3.99,,10542,8917,Nonfiction,298,527,December 29th 1997,1997,January 31st 2006,Harper Perennial,5874,Wasted: A Memoir of Anorexia and Bulimia,27483,1176,1623
Douglas Adams,4.2,,70371,57959,Science Fiction,224,756,December 29th 1982,1982,April 26th 2005,Del Rey,27829,"Life, the Universe and Everything",161106,2620,4191
Sherrilyn Kenyon,4.36,,21391,13486,Romance,289,152,December 28th 2004,2004,2005,St. Martin's Press,5110,Seize the Night,40752,1279,613
Jeff Hirsch,3.5,,2420,3554,Young Adult,278,396,December 28th 1998,1998,September 1st 2011,Scholastic Press,4184,The Eleventh Plague,12107,1720,1553
David Baldacci,4.06,,9804,11558,Thriller,720,229,December 28th 1996,1996,December 1st 1997,Vision,5814,Total Control,28179,712,774
James Patterson,4.11,,22576,20470,Mystery,368,580,December 28th 1995,1995,February 3rd 1997,HarperCollins,11382,Hide and Seek,56677,509,1669
Naoko Takeuchi,4.28,,13572,5231,Sequential Art,241,695,December 28th 1991,1991,September 22nd 2003,講談社 / Kōdansha,3143,美少女戦士セーラームーン新装版 1 [Bishōjo Senshi Sailor Moon Shinsōban 1],23540,802,899
John Scalzi,4.23,,53503,47377,Science Fiction,351,986,December 27th 2005,2005,January 15th 2007,Tor Books,16335,Old Man's War,121190,7622,2989
Tawni O'Dell,3.73,,5546,8382,Fiction,352,551,December 27th 1999,1999,June 1st 2004,Berkley Books,6666,Back Roads,22827,983,1682
Katherine Neville,3.92,,10079,10018,Fiction,598,796,December 27th 1988,1988,January 14th 1990,Ballantine Books,6007,The Eight,28911,2347,2011
Jonathan Haidt,4.12,,6930,5728,Psychology,297,296,December 26th 2005,2005,December 26th 2006,Basic Books,2759,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,16379,1014,666
Ted Dekker,4.21,,12553,8482,Fantasy,432,408,December 25th 2003,2003,February 8th 2005,Thomas Nelson,3946,Black: The Birth of Evil,26348,1635,959
Banana Yoshimoto,3.57,,1196,2311,Fiction,208,157,December 25th 1990,1990,Jan-07,Grove Press,2268,N.P,6592,403,660
Sarah Blake,3.3,,3991,11402,Historical,11,1496,December 24th 2009,2009,February 9th 2010,Penguin Group (USA),13913,The Postmistress,36239,5252,5437
Kelley Armstrong,4.16,,16156,15013,Fantasy,468,263,December 24th 2002,2002,September 28th 2004,Plume,7040,Stolen,39557,1460,1085
Irvin D. Yalom,4.24,,5695,3942,Nonfiction,288,172,December 24th 2001,2001,January 1st 2003,Harper Perennial,1644,The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,11817,427,364
Eiichirō Oda,4.42,,48269,14412,Sequential Art,210,1716,December 24th 1997,1997,June 23rd 2003,"VIZ Media, LLC",7467,"One Piece, Volume 01: Romance Dawn",74025,897,2161
Daniel Silva,4.23,,8114,7201,Fiction,752,148,December 24th 1996,1996,May 6th 2003,Signet,2627,The Unlikely Spy,18521,738,431
Pema Chödrön,4.3,,13299,7912,Nonfiction,160,381,December 24th 1996,1996,September 26th 2000,Shambhala,3169,When Things Fall Apart: Heart Advice for Difficult Times,25491,1476,730
Lesley Livingston,3.69,,5496,6222,Fantasy,327,751,December 23rd 2008,2008,December 29th 2009,HarperTrophyCanada,5698,Wondrous Strange,20061,1475,1894
Hillary Rodham Clinton,3.75,,7207,9372,Nonfiction,567,1049,December 23rd 2003,2003,April 19th 2004,Scribner,6928,Living History,26377,1019,1821
Danny Gregory,3.93,,8330,4803,Art,208,886,December 21st 2005,2005,January 1st 2006,Hachette Books,4017,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,19591,143,1555
Meg Cabot,3.77,,6180,7382,Womens Fiction,328,481,December 21st 2004,2004,2005,Pan Macmillian,6540,Every Boy's Got One,22223,946,1640
Marion Zimmer Bradley,4.12,,76080,53383,Fantasy,884,3612,December 21st 1982,1982,April 12th 1984,Ballantine Books,28429,The Mists of Avalon,169768,5899,8264
